Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
47,1000	106,27
47,2000	178,59
47,3000	145,34
47,4000	104,53
47,5000	156,62
47,6000	150,68
47,7000	101,70
47,8000	151,95
47,9000	176,00
48,0000	102,44
48,1000	125,65
48,2000	178,88
48,3000	103,61
48,4000	121,81
48,5000	180,91
48,6000	119,20
48,7000	118,26
48,8000	178,03
48,9000	123,60
49,0000	104,17
49,1000	175,13
49,2000	151,97
49,3000	102,83
49,4000	150,61
49,5000	157,23
49,6000	102,74
49,7000	145,76
49,8000	179,52
49,9000	104,02
50,0000	120,71
50,1000	181,42
50,2000	120,36
50,3000	117,22
50,4000	182,50
50,5000	124,80
50,6000	113,96
50,7000	174,37
50,8000	129,26
50,9000	102,63
51,0000	170,57
51,1000	158,63
51,2000	101,75
51,3000	144,42
51,4000	163,43
51,5000	104,44
51,6000	139,35
51,7000	181,86
51,8000	106,43
51,9000	116,13
52,0000	182,76
52,1000	126,31
52,2000	112,97
52,3000	173,01
52,4000	130,94
52,5000	110,27
52,6000	169,03
52,7000	136,11
52,8000	101,56
52,9000	164,67
53,0000	165,27
53,1000	101,28
53,2000	137,59
53,3000	169,84
53,4000	107,26
53,5000	133,00
53,6000	183,02
53,7000	109,85
53,8000	111,97
53,9000	182,79
54,0000	132,71
54,1000	109,45
54,2000	167,75
54,3000	137,80
54,4000	101,40
54,5000	163,28
54,6000	143,18
54,7000	101,27
54,8000	158,70
54,9000	171,23
55,0000	101,48
55,1000	131,89
55,2000	174,84
55,3000	110,46
55,4000	127,63
55,5000	182,63
55,6000	113,47
55,7000	109,00
55,8000	181,45
55,9000	138,64
56,0000	106,86
56,1000	162,70
56,2000	143,82
56,3000	101,24
56,4000	158,27
56,5000	148,97
56,6000	101,51
56,7000	153,94
56,8000	175,22
56,9000	102,10
57,0000	127,52
57,1000	178,02
57,2000	113,68
57,3000	123,71
57,4000	181,54
57,5000	117,23
57,6000	106,82
57,7000	179,64
57,8000	144,09
57,9000	105,05
58,0000	158,27
58,1000	149,15
58,2000	101,49
58,3000	153,91
58,4000	175,15
58,5000	102,06
58,6000	149,63
58,7000	177,91
58,8000	102,91
58,9000	124,03
59,0000	180,27
59,1000	116,94
59,2000	120,47
59,3000	179,97
59,4000	120,68
59,5000	105,22
59,6000	177,54
59,7000	148,68
59,8000	103,76
59,9000	154,47
60,0000	153,44
60,1000	101,97
60,2000	150,15
60,3000	177,73
60,4000	102,82
60,5000	124,39
60,6000	180,18
60,7000	104,10
60,8000	120,71
60,9000	181,90
61,0000	120,49
61,1000	117,29
61,2000	177,80
61,3000	124,54
61,4000	103,91
61,5000	174,96
61,6000	153,22
61,7000	102,78
61,8000	150,53
61,9000	157,97
62,0000	102,78
62,1000	145,97
62,2000	180,15
62,3000	104,11
62,4000	120,96
62,5000	181,83
62,6000	120,29
62,7000	117,44
62,8000	182,99
62,9000	124,34
63,0000	114,38
63,1000	174,98
63,2000	128,85
63,3000	102,74
63,4000	171,59
63,5000	158,21
63,6000	101,93
63,7000	145,60
63,8000	162,83
63,9000	104,18
64,0000	140,64
64,1000	182,10
64,2000	106,05
64,3000	116,83
64,4000	183,23
64,5000	125,25
64,6000	113,72
64,7000	174,23
64,8000	130,00
64,9000	110,97
65,0000	170,61
65,1000	134,86
65,2000	101,74
65,3000	166,46
65,4000	164,18
65,5000	101,28
65,6000	139,31
65,7000	168,91
65,8000	106,57
65,9000	134,64
66,0000	183,32
66,1000	108,91
66,2000	113,02
66,3000	183,47
66,4000	131,29
66,5000	110,34
66,6000	169,68
66,7000	136,12
66,8000	107,98
66,9000	165,41
67,0000	141,28
67,1000	101,28
67,2000	160,77
67,3000	170,10
67,4000	101,32
67,5000	133,53
67,6000	174,03
67,7000	109,54
67,8000	129,30
67,9000	183,38
68,0000	112,50
68,1000	109,84
68,2000	182,45
68,3000	137,31
68,4000	107,49
68,5000	164,32
68,6000	142,49
68,7000	101,25
68,8000	159,79
68,9000	147,92
69,0000	101,41
69,1000	155,19
69,2000	174,78
69,3000	101,89
69,4000	128,54
69,5000	177,85
69,6000	113,04
69,7000	124,72
69,8000	182,29
69,9000	116,56
70,0000	107,18
70,1000	180,41
70,2000	143,41
70,3000	105,31
70,4000	159,19
70,5000	148,66
70,6000	101,46
70,7000	154,66
70,8000	175,15
70,9000	101,92
71,0000	150,26
71,1000	178,14
71,2000	102,85
71,3000	124,44
71,4000	180,47
71,5000	116,81
71,6000	120,64
71,7000	180,38
71,8000	120,75
71,9000	105,24
72,0000	177,82
72,1000	148,80
72,2000	103,76
72,3000	154,56
72,4000	153,97
72,5000	101,95
72,6000	150,05
72,7000	178,37
72,8000	102,92
72,9000	124,24
73,0000	180,62
73,1000	104,28
73,2000	120,32
73,3000	182,54
73,4000	121,34
73,5000	116,90
73,6000	177,72
73,7000	125,46
73,8000	103,56
73,9000	174,46
74,0000	154,63
74,1000	102,52
74,2000	149,43
74,3000	159,57
74,4000	103,15
74,5000	144,74
74,6000	181,08
74,7000	104,58
74,8000	119,69
74,9000	182,60
75,0000	106,50
75,1000	116,21
75,2000	183,65
75,3000	126,51
75,4000	113,07
75,5000	173,74
75,6000	131,20
75,7000	102,27
75,8000	169,90
75,9000	160,86
76,0000	101,62
76,1000	143,16
76,2000	165,72
76,3000	105,03
76,4000	138,32
76,5000	183,06
76,6000	107,14
76,7000	115,25
76,8000	183,74
76,9000	127,84
77,0000	112,19
77,1000	183,60
77,2000	132,58
77,3000	109,76
77,4000	168,93
77,5000	137,56
77,6000	101,47
77,7000	164,45
77,8000	167,13
77,9000	101,25
78,0000	137,20
78,1000	171,19
78,2000	107,69
78,3000	132,55
78,4000	183,88
78,5000	110,38
78,6000	111,64
78,7000	183,60
78,8000	133,76
78,9000	109,12
79,0000	167,71
79,1000	138,99
79,2000	106,88
79,3000	163,17
79,4000	144,46
79,5000	101,25
79,6000	158,49
79,7000	172,43
79,8000	101,48
79,9000	131,26
80,0000	176,15
80,1000	111,21
80,2000	126,98
80,3000	183,29
80,4000	114,44
80,5000	108,50
80,6000	181,87
80,7000	140,41
80,8000	106,34
80,9000	161,79
81,0000	145,95
81,1000	101,26
81,2000	157,19
81,3000	151,24
81,4000	101,67
81,5000	152,43
81,6000	177,06
81,7000	102,38
81,8000	125,99
81,9000	179,77
82,0000	115,27
82,1000	122,06
82,2000	181,34
82,3000	119,20
82,4000	105,86
82,5000	178,86
82,6000	147,37
82,7000	104,20
82,8000	156,09
82,9000	152,41
83,0000	101,72
83,1000	151,31
83,2000	177,81
83,3000	102,61
83,4000	146,51
83,5000	180,59
83,6000	103,91
83,7000	121,00
83,8000	182,44
83,9000	120,40
84,0000	117,46
84,1000	178,23
84,2000	124,83
84,3000	103,80
84,4000	175,10
84,5000	154,00
84,6000	102,68
84,7000	150,20
84,8000	158,82
84,9000	102,85
85,0000	145,33
85,1000	180,93
85,2000	104,29
85,3000	120,24
85,4000	182,81
85,5000	106,14
85,6000	116,81
85,7000	183,73
85,8000	125,74
85,9000	113,78
86,0000	174,67
86,1000	130,19
86,2000	102,44
86,3000	171,06
86,4000	159,65
86,5000	101,67
86,6000	144,50
86,7000	164,72
86,8000	104,57
86,9000	139,47
87,0000	183,06
87,1000	106,59
87,2000	116,05
87,3000	183,94
87,4000	109,00
87,5000	113,01
87,6000	183,98
87,7000	131,56
87,8000	110,29
87,9000	169,88
88,0000	136,58
88,1000	101,52
88,2000	165,46
88,3000	166,13
88,4000	101,21
88,5000	138,08
88,6000	170,75
88,7000	107,32
88,8000	133,44
88,9000	184,01
89,0000	109,80
89,1000	112,14
89,2000	183,85
89,3000	132,96
89,4000	109,63
89,5000	182,83
89,6000	138,05
89,7000	107,22
89,8000	164,14
89,9000	143,47
90,0000	101,23
90,1000	159,45
90,2000	171,88
90,3000	101,38
90,4000	132,13
90,5000	175,74
90,6000	110,63
90,7000	127,85
90,8000	183,65
90,9000	113,79
91,0000	108,82
91,1000	182,37
91,2000	139,70
91,3000	106,60
91,4000	162,53
91,5000	145,24
91,6000	104,60
91,7000	157,53
91,8000	150,89
91,9000	101,53
92,0000	152,75
92,1000	177,05
92,2000	102,26
92,3000	126,20
92,4000	179,78
92,5000	115,10
92,6000	122,14
92,7000	181,58
92,8000	119,06
92,9000	105,93
93,0000	179,25
93,1000	147,01
93,2000	104,16
93,3000	156,09
93,4000	152,48
93,5000	102,93
93,6000	151,37
93,7000	157,62
93,8000	102,50
93,9000	146,53
94,0000	180,52
94,1000	103,76
94,2000	121,08
