Absolutdruck 1 vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Absolutdruck 1 ( kPa )
-0,358	113,28
-0,341	113,87
-0,322	114,38
-0,305	114,96
-0,286	115,58
-0,269	116,09
-0,250	116,70
-0,232	117,38
-0,214	117,90
-0,195	118,60
-0,178	119,27
-0,159	119,80
-0,141	120,50
-0,123	121,04
-0,105	121,73
-0,086	122,45
-0,069	123,01
-0,050	123,75
-0,031	124,52
-0,014	125,03
0,005	125,84
0,022	126,60
0,041	127,19
0,057	128,03
0,075	128,66
0,093	129,43
0,110	130,28
0,127	130,95
0,145	131,81
0,162	132,63
0,178	133,35
0,195	134,21
0,210	134,86
0,228	135,75
0,243	136,63
0,261	137,31
0,276	138,21
0,292	139,05
0,308	139,79
0,324	140,67
0,339	141,59
0,353	142,30
0,369	143,16
0,383	144,12
0,399	144,80
0,413	145,65
0,427	146,65
0,441	147,30
0,456	148,17
0,470	149,10
0,484	149,80
0,496	150,69
0,509	151,54
0,522	152,24
0,534	153,14
0,547	153,85
0,559	154,68
0,572	155,55
0,583	156,19
0,595	157,08
0,606	157,87
0,617	158,50
0,628	159,36
0,639	160,20
0,650	160,82
0,661	161,54
0,671	162,35
0,680	163,03
0,691	163,76
0,701	164,46
0,710	165,15
0,719	165,88
0,729	166,39
0,737	167,09
0,745	167,80
0,754	168,36
0,762	169,06
0,770	169,70
0,778	170,24
0,785	170,84
0,792	171,43
0,800	171,96
0,806	172,54
0,812	173,09
0,820	173,59
0,826	174,09
0,833	174,66
0,839	175,19
0,844	175,63
0,848	176,17
0,855	176,53
0,859	177,09
0,866	177,41
0,870	177,86
0,875	178,25
0,880	178,68
0,884	179,07
0,889	179,56
0,892	179,91
0,897	180,20
0,900	180,65
0,903	180,95
0,908	181,26
0,911	181,62
0,914	181,81
0,917	182,14
0,919	182,45
0,922	182,68
0,925	183,00
0,927	183,18
0,930	183,47
0,931	183,67
0,935	183,90
0,936	184,09
0,938	184,31
0,939	184,52
0,941	184,72
0,942	184,90
0,942	185,09
0,944	185,16
0,944	185,33
0,946	185,44
0,946	185,57
0,947	185,67
0,947	185,83
0,947	185,87
0,947	185,97
0,947	186,04
0,947	186,06
0,947	186,07
0,947	186,18
0,947	186,21
0,947	186,31
0,947	186,27
0,947	186,38
0,946	186,41
0,944	186,28
0,942	186,34
0,941	186,22
0,939	186,23
0,938	186,20
0,936	185,98
0,935	186,01
0,931	185,88
0,930	185,74
0,928	185,68
0,925	185,54
0,922	185,39
0,919	185,27
0,916	185,16
0,913	184,99
0,909	184,78
0,905	184,58
0,902	184,42
0,897	184,13
0,892	183,85
0,889	183,72
0,884	183,46
0,880	183,13
0,875	182,84
0,870	182,62
0,866	182,26
0,859	182,04
0,855	181,72
0,848	181,40
0,842	181,09
0,837	180,79
0,831	180,42
0,825	180,01
0,817	179,75
0,811	179,26
0,803	178,88
0,796	178,45
0,789	178,01
0,781	177,63
0,773	177,20
0,765	176,68
0,757	176,22
0,749	175,73
0,740	175,19
0,730	174,80
0,723	174,23
0,713	173,64
0,704	173,15
0,694	172,58
0,683	171,97
0,674	171,56
0,663	170,84
0,653	170,33
0,642	169,70
0,631	168,96
0,620	168,45
0,609	167,79
0,597	167,07
0,586	166,42
0,573	165,70
0,561	164,96
0,548	164,41
0,536	163,58
0,523	162,82
0,511	162,14
0,496	161,35
0,482	160,56
0,470	159,94
0,456	159,08
0,441	158,26
0,426	157,57
0,412	156,74
0,397	156,05
0,382	155,20
0,366	154,32
0,352	153,67
0,336	152,70
0,320	151,87
0,303	151,16
0,287	150,34
0,272	149,36
0,254	148,67
0,237	147,71
0,221	146,83
0,204	146,13
0,187	145,20
0,170	144,30
0,152	143,52
0,135	142,64
0,118	141,69
0,099	140,93
0,082	140,03
0,063	139,29
0,046	138,33
0,028	137,36
0,009	136,69
-0,008	135,70
-0,027	134,77
-0,046	134,01
-0,064	133,13
-0,083	132,22
-0,102	131,54
-0,121	130,70
-0,138	129,77
-0,157	129,07
-0,176	128,22
-0,195	127,52
-0,214	126,69
-0,232	125,91
-0,251	125,22
-0,270	124,36
-0,289	123,60
-0,308	122,94
-0,327	122,16
-0,346	121,55
-0,363	120,81
-0,382	119,98
-0,401	119,40
-0,418	118,69
-0,437	118,01
-0,454	117,41
-0,471	116,69
-0,489	116,05
-0,506	115,50
-0,523	114,87
-0,540	114,38
-0,558	113,67
-0,575	113,10
-0,591	112,60
-0,606	112,05
-0,624	111,44
-0,639	110,98
-0,655	110,42
-0,671	109,90
-0,686	109,50
-0,701	108,94
-0,715	108,53
-0,729	108,03
-0,745	107,54
-0,759	107,18
-0,773	106,71
-0,787	106,29
-0,800	105,92
-0,812	105,53
-0,825	105,15
-0,836	104,74
-0,848	104,33
-0,861	104,06
-0,872	103,68
-0,883	103,32
-0,894	103,01
-0,905	102,73
-0,914	102,36
-0,924	102,11
-0,933	101,78
-0,942	101,58
-0,950	101,24
-0,960	100,97
-0,968	100,72
-0,975	100,49
-0,983	100,26
-0,990	100,11
-0,996	99,84
-1,002	99,69
-1,008	99,51
-1,015	99,36
-1,019	99,19
-1,026	98,99
-1,030	98,82
-1,035	98,70
-1,040	98,51
-1,043	98,36
-1,048	98,22
-1,051	98,12
-1,054	97,99
-1,056	97,87
-1,057	97,81
-1,059	97,72
-1,060	97,65
-1,062	97,61
-1,063	97,57
-1,063	97,54
-1,063	97,48
-1,063	97,50
-1,063	97,47
-1,063	97,49
-1,063	97,48
-1,062	97,46
-1,060	97,45
-1,059	97,44
-1,056	97,47
-1,054	97,45
-1,051	97,49
-1,048	97,55
-1,045	97,55
-1,040	97,56
-1,035	97,64
-1,030	97,70
-1,024	97,79
-1,019	97,88
-1,015	97,99
-1,008	98,12
-1,001	98,22
