Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
78,0000	155,72
78,1000	157,33
78,2000	98,81
78,3000	126,29
78,4000	164,97
78,5000	109,94
78,6000	117,13
78,7000	167,22
78,8000	118,88
78,9000	100,81
79,0000	161,10
79,1000	150,77
79,2000	98,94
79,3000	133,54
79,4000	160,17
79,5000	105,52
79,6000	123,21
79,7000	166,86
79,8000	112,68
79,9000	114,47
80,0000	165,59
80,1000	122,29
80,2000	100,01
80,3000	158,75
80,4000	153,75
80,5000	98,81
80,6000	130,26
80,7000	162,41
80,8000	107,18
80,9000	120,54
81,0000	168,63
81,1000	115,04
81,2000	102,25
81,3000	163,98
81,4000	146,35
81,5000	99,53
81,6000	137,75
81,7000	156,60
81,8000	98,85
81,9000	127,34
82,0000	164,56
82,1000	109,35
82,2000	118,05
82,3000	167,73
82,4000	117,89
82,5000	101,17
82,6000	162,07
82,7000	149,45
82,8000	99,17
82,9000	134,79
83,0000	159,23
83,1000	104,82
83,2000	124,66
83,3000	169,72
83,4000	111,48
83,5000	104,06
83,6000	166,44
83,7000	141,42
83,8000	100,52
83,9000	160,03
84,0000	152,58
84,1000	98,96
84,2000	131,90
84,3000	161,51
84,4000	106,36
84,5000	121,87
84,6000	169,04
84,7000	113,91
84,8000	102,79
84,9000	164,96
85,0000	144,66
85,1000	99,84
85,2000	139,51
85,3000	155,16
85,4000	102,62
85,5000	128,94
85,6000	169,83
85,7000	107,96
85,8000	106,29
85,9000	168,23
86,0000	116,22
86,1000	101,83
86,2000	163,31
86,3000	147,58
86,4000	99,38
86,5000	136,85
86,6000	157,56
86,7000	103,80
86,8000	126,48
86,9000	169,85
87,0000	109,74
87,1000	105,18
87,2000	167,48
87,3000	138,69
87,4000	101,13
87,5000	145,17
87,6000	149,96
87,7000	100,74
87,8000	134,78
87,9000	169,24
88,0000	104,82
88,1000	124,74
88,2000	169,65
88,3000	111,24
88,4000	104,11
88,5000	166,60
88,6000	140,86
88,7000	100,61
88,8000	143,01
88,9000	151,83
89,0000	101,39
89,1000	132,63
89,2000	169,64
89,3000	105,82
89,4000	108,50
89,5000	169,37
89,6000	132,00
89,7000	103,28
89,8000	150,94
89,9000	143,64
90,0000	99,52
90,1000	140,64
90,2000	154,23
90,3000	102,29
90,4000	129,86
90,5000	169,93
90,6000	107,62
90,7000	106,61
90,8000	168,46
90,9000	135,72
91,0000	101,97
91,1000	147,69
91,2000	146,90
91,3000	100,04
91,4000	137,22
91,5000	168,68
91,6000	103,74
91,7000	110,93
91,8000	169,93
91,9000	127,27
92,0000	105,12
92,1000	154,77
92,2000	138,60
92,3000	101,17
92,4000	144,86
92,5000	149,93
92,6000	100,78
92,7000	134,26
92,8000	169,26
92,9000	105,02
93,0000	109,21
93,1000	169,63
93,2000	130,40
93,3000	103,77
93,4000	152,40
93,5000	141,42
93,6000	99,16
93,7000	142,29
93,8000	166,79
93,9000	101,65
94,0000	114,53
94,1000	169,60
94,2000	121,71
94,3000	107,90
94,4000	159,09
94,5000	132,83
94,6000	102,99
94,7000	150,25
94,8000	144,10
94,9000	99,57
95,0000	139,90
95,1000	167,76
95,2000	102,49
95,3000	112,88
95,4000	169,98
95,5000	124,30
95,6000	106,56
95,7000	157,08
95,8000	135,42
95,9000	98,89
96,0000	148,03
96,1000	163,78
96,2000	100,05
96,3000	119,25
96,4000	168,45
96,5000	116,29
96,6000	111,54
96,7000	169,87
96,8000	126,10
96,9000	105,72
97,0000	155,85
97,1000	137,04
97,2000	98,86
97,3000	146,61
97,4000	164,46
97,5000	100,27
97,6000	118,21
97,7000	168,79
97,8000	117,48
97,9000	110,73
98,0000	162,47
98,1000	127,67
98,2000	99,25
98,3000	154,70
98,4000	158,22
98,5000	99,01
98,6000	125,62
98,7000	165,58
98,8000	100,77
98,9000	116,56
99,0000	169,18
99,1000	119,17
99,2000	109,65
99,3000	161,35
99,4000	129,62
99,5000	99,10
99,6000	153,08
99,7000	159,76
99,8000	99,09
99,9000	123,91
100,0000	166,33
100,1000	112,09
100,2000	115,29
100,3000	166,23
100,4000	121,18
100,5000	100,34
100,6000	159,63
100,7000	152,72
100,8000	98,91
100,9000	151,04
101,0000	161,62
101,1000	99,47
101,2000	121,84
101,3000	167,47
101,4000	114,01
101,5000	113,60
101,6000	164,97
101,7000	123,65
101,8000	99,80
101,9000	157,71
102,0000	154,98
102,1000	98,84
102,2000	129,02
102,3000	163,06
102,4000	108,02
102,5000	119,79
102,6000	168,38
102,7000	116,18
102,8000	102,05
102,9000	163,69
103,0000	126,05
103,1000	99,49
103,2000	156,03
103,3000	157,05
103,4000	98,90
103,5000	126,92
103,6000	164,45
103,7000	109,52
103,8000	118,09
103,9000	167,68
104,0000	118,00
104,1000	101,21
104,2000	161,96
104,3000	149,50
104,4000	99,03
104,5000	134,74
104,6000	158,69
104,7000	104,64
104,8000	124,87
104,9000	169,66
105,0000	111,27
105,1000	116,10
105,2000	166,78
105,3000	119,92
105,4000	100,71
105,5000	160,57
105,6000	151,58
105,7000	99,01
105,8000	132,73
105,9000	160,45
106,0000	105,87
106,1000	122,79
106,2000	169,16
106,3000	112,94
106,4000	103,22
106,5000	165,62
106,6000	143,13
106,7000	99,98
106,8000	140,66
106,9000	153,67
107,0000	102,15
107,1000	130,41
107,2000	162,23
107,3000	107,16
107,4000	121,01
107,5000	168,88
107,6000	114,67
107,7000	102,62
107,8000	164,53
107,9000	145,44
108,0000	99,73
108,1000	138,90
108,2000	155,25
108,3000	102,84
108,4000	128,45
108,5000	169,82
108,6000	108,41
108,7000	106,13
108,8000	168,14
108,9000	136,64
109,0000	101,72
109,1000	146,99
109,2000	147,69
109,3000	99,34
109,4000	136,54
109,5000	157,34
109,6000	103,82
109,7000	126,63
109,8000	169,81
109,9000	109,64
110,0000	105,37
110,1000	167,64
110,2000	138,14
110,3000	101,42
110,4000	145,55
110,5000	149,28
110,6000	100,58
110,7000	135,43
110,8000	168,95
110,9000	104,40
111,0000	110,18
111,1000	169,67
111,2000	128,29
111,3000	104,73
111,4000	166,94
111,5000	139,67
111,6000	100,90
111,7000	144,33
111,8000	150,16
111,9000	100,86
112,0000	134,26
112,1000	169,23
112,2000	105,00
112,3000	109,43
112,4000	169,47
112,5000	129,74
112,6000	104,12
112,7000	152,76
112,8000	140,88
112,9000	99,19
113,0000	143,37
113,1000	166,15
113,2000	101,17
113,3000	115,85
113,4000	169,29
113,5000	105,28
113,6000	109,16
113,7000	169,53
113,8000	130,34
113,9000	103,99
114,0000	152,49
114,1000	141,34
114,2000	99,12
114,3000	142,44
114,4000	166,45
114,5000	101,47
