Temperatur, Messreihe #1
Zeit ( s )	Temperatur ( °C )
106,8000	0,6
107,0000	0,6
107,2000	0,6
107,4000	0,6
107,6000	0,6
107,8000	0,6
108,0000	0,6
108,2000	0,6
108,4000	0,6
108,6000	0,6
108,8000	0,6
109,0000	0,6
109,2000	0,6
109,4000	0,6
109,6000	0,6
109,8000	0,6
110,0000	0,6
110,2000	0,6
110,4000	0,6
110,6000	0,6
110,8000	0,6
111,0000	0,6
111,2000	0,6
111,4000	0,6
111,6000	0,6
111,8000	0,6
112,0000	0,6
112,2000	0,6
112,4000	0,6
112,6000	0,6
112,8000	0,6
113,0000	0,6
113,2000	0,6
113,4000	0,6
113,6000	0,6
113,8000	0,6
114,0000	0,6
114,2000	0,6
114,4000	0,6
114,6000	0,6
114,8000	0,6
115,0000	0,6
115,2000	0,6
115,4000	0,6
115,6000	0,6
115,8000	0,6
116,0000	0,6
116,2000	0,6
116,4000	0,6
116,6000	0,6
116,8000	0,6
117,0000	0,6
117,2000	0,6
117,4000	0,7
117,6000	0,7
117,8000	0,7
118,0000	0,7
118,2000	0,7
118,4000	0,7
118,6000	0,7
118,8000	0,7
119,0000	0,7
119,2000	0,7
119,4000	0,7
119,6000	0,7
119,8000	0,7
120,0000	0,7
120,2000	0,7
120,4000	0,7
120,6000	0,7
120,8000	0,7
121,0000	0,7
121,2000	0,7
121,4000	0,7
121,6000	0,7
121,8000	0,7
122,0000	0,7
122,2000	0,7
122,4000	0,7
122,6000	0,7
122,8000	0,7
123,0000	0,7
123,2000	0,7
123,4000	0,7
123,6000	0,7
123,8000	0,7
124,0000	0,7
124,2000	0,7
124,4000	0,7
124,6000	0,7
124,8000	0,7
125,0000	0,7
125,2000	0,7
125,4000	0,7
125,6000	0,7
125,8000	0,7
126,0000	0,7
126,2000	0,7
126,4000	0,7
126,6000	0,7
126,8000	0,7
127,0000	0,7
127,2000	0,7
127,4000	0,7
127,6000	0,7
127,8000	0,7
128,0000	0,7
128,2000	0,7
128,4000	0,7
128,6000	0,7
128,8000	0,7
129,0000	0,7
129,2000	0,7
129,4000	0,7
129,6000	0,7
129,8000	0,7
130,0000	0,7
130,2000	0,7
130,4000	0,7
130,6000	0,7
130,8000	0,7
131,0000	0,7
131,2000	0,7
131,4000	0,7
131,6000	0,7
131,8000	0,7
132,0000	0,7
132,2000	0,7
132,4000	0,7
132,6000	0,7
132,8000	0,7
133,0000	0,7
133,2000	0,7
133,4000	0,7
133,6000	0,7
133,8000	0,7
134,0000	0,7
134,2000	0,7
134,4000	0,7
134,6000	0,7
134,8000	0,7
135,0000	0,7
135,2000	0,7
135,4000	0,7
135,6000	0,7
135,8000	0,7
136,0000	0,7
136,2000	0,7
136,4000	0,8
136,6000	0,8
136,8000	0,8
137,0000	0,8
137,2000	0,8
137,4000	0,8
137,6000	0,8
137,8000	0,8
138,0000	0,8
138,2000	0,8
138,4000	0,8
138,6000	0,8
138,8000	0,8
139,0000	0,8
139,2000	0,8
139,4000	0,8
139,6000	0,8
139,8000	0,8
140,0000	0,8
140,2000	0,8
140,4000	0,8
140,6000	0,8
140,8000	0,8
141,0000	0,8
141,2000	0,8
141,4000	0,8
141,6000	0,8
141,8000	0,8
142,0000	0,8
142,2000	0,8
142,4000	0,8
142,6000	0,8
142,8000	0,8
143,0000	0,8
143,2000	0,8
143,4000	0,8
143,6000	0,8
143,8000	0,8
144,0000	0,8
144,2000	0,8
144,4000	0,8
144,6000	0,8
144,8000	0,8
145,0000	0,8
145,2000	0,8
145,4000	0,8
145,6000	0,8
145,8000	0,8
146,0000	0,8
146,2000	0,8
146,4000	0,8
146,6000	0,8
146,8000	0,8
147,0000	0,8
147,2000	0,8
147,4000	0,8
147,6000	0,8
147,8000	0,8
148,0000	0,8
148,2000	0,8
148,4000	0,8
148,6000	0,8
148,8000	0,9
149,0000	0,9
149,2000	0,9
149,4000	0,9
149,6000	0,9
149,8000	0,9
150,0000	0,9
150,2000	0,9
150,4000	0,9
150,6000	0,9
150,8000	0,9
151,0000	0,9
151,2000	0,9
151,4000	0,9
151,6000	0,9
151,8000	0,9
152,0000	0,9
152,2000	0,9
152,4000	0,9
152,6000	0,9
152,8000	0,9
153,0000	0,9
153,2000	0,9
153,4000	1,0
153,6000	1,0
153,8000	1,0
154,0000	1,0
154,2000	1,0
154,4000	1,0
154,6000	1,0
154,8000	1,0
155,0000	1,0
155,2000	1,0
155,4000	1,0
155,6000	1,0
155,8000	1,0
156,0000	1,0
156,2000	1,0
156,4000	1,0
156,6000	1,0
156,8000	1,0
157,0000	1,0
157,2000	1,0
157,4000	1,0
157,6000	1,0
157,8000	1,0
158,0000	1,0
158,2000	1,0
158,4000	1,0
158,6000	1,1
158,8000	1,1
159,0000	1,1
159,2000	1,1
159,4000	1,1
159,6000	1,1
159,8000	1,1
160,0000	1,1
160,2000	1,1
160,4000	1,1
160,6000	1,1
160,8000	1,1
161,0000	1,1
161,2000	1,1
161,4000	1,1
161,6000	1,1
161,8000	1,1
162,0000	1,1
162,2000	1,1
162,4000	1,1
162,6000	1,1
162,8000	1,1
163,0000	1,1
163,2000	1,1
163,4000	1,1
163,6000	1,1
163,8000	1,2
164,0000	1,2
164,2000	1,2
164,4000	1,2
164,6000	1,2
164,8000	1,2
165,0000	1,2
165,2000	1,2
165,4000	1,2
165,6000	1,2
165,8000	1,2
166,0000	1,2
166,2000	1,2
166,4000	1,2
166,6000	1,2
166,8000	1,2
167,0000	1,2
167,2000	1,2
167,4000	1,2
167,6000	1,2
167,8000	1,2
168,0000	1,2
168,2000	1,2
168,4000	1,2
168,6000	1,2
168,8000	1,2
169,0000	1,2
169,2000	1,3
169,4000	1,3
169,6000	1,3
169,8000	1,3
170,0000	1,3
170,2000	1,3
170,4000	1,3
170,6000	1,3
170,8000	1,3
171,0000	1,3
171,2000	1,3
171,4000	1,3
171,6000	1,3
171,8000	1,3
172,0000	1,3
172,2000	1,3
172,4000	1,3
172,6000	1,3
172,8000	1,3
173,0000	1,3
173,2000	1,3
173,4000	1,3
173,6000	1,3
173,8000	1,3
174,0000	1,3
174,2000	1,3
174,4000	1,3
174,6000	1,3
174,8000	1,3
175,0000	1,4
175,2000	1,4
175,4000	1,4
175,6000	1,4
175,8000	1,4
176,0000	1,4
176,2000	1,4
176,4000	1,4
176,6000	1,4
176,8000	1,4
177,0000	1,4
177,2000	1,4
177,4000	1,4
177,6000	1,4
177,8000	1,4
178,0000	1,4
178,2000	1,4
178,4000	1,4
178,6000	1,4
178,8000	1,4
179,0000	1,4
179,2000	1,4
179,4000	1,4
179,6000	1,4
179,8000	1,4
180,0000	1,4
180,2000	1,4
180,4000	1,4
180,6000	1,4
180,8000	1,5
181,0000	1,5
181,2000	1,5
181,4000	1,5
181,6000	1,5
181,8000	1,5
182,0000	1,5
182,2000	1,5
182,4000	1,5
182,6000	1,5
182,8000	1,5
183,0000	1,5
183,2000	1,5
183,4000	1,5
183,6000	1,5
183,8000	1,5
184,0000	1,5
184,2000	1,5
184,4000	1,5
184,6000	1,5
184,8000	1,5
185,0000	1,5
185,2000	1,5
185,4000	1,6
185,6000	1,6
185,8000	1,6
186,0000	1,6
186,2000	1,6
186,4000	1,6
186,6000	1,6
186,8000	1,6
187,0000	1,6
187,2000	1,6
187,4000	1,6
187,6000	1,6
187,8000	1,6
188,0000	1,6
188,2000	1,6
188,4000	1,6
188,6000	1,6
188,8000	1,6
189,0000	1,6
189,2000	1,6
189,4000	1,6
189,6000	1,6
189,8000	1,6
190,0000	1,7
190,2000	1,7
190,4000	1,7
190,6000	1,7
190,8000	1,7
191,0000	1,7
191,2000	1,7
191,4000	1,7
191,6000	1,7
191,8000	1,7
192,0000	1,7
192,2000	1,7
192,4000	1,7
192,6000	1,7
192,8000	1,7
193,0000	1,7
193,2000	1,7
193,4000	1,7
193,6000	1,7
193,8000	1,8
194,0000	1,8
194,2000	1,8
194,4000	1,8
194,6000	1,8
194,8000	1,8
195,0000	1,8
195,2000	1,8
195,4000	1,8
195,6000	1,8
195,8000	1,8
196,0000	1,8
196,2000	1,8
196,4000	1,8
196,6000	1,8
196,8000	1,8
197,0000	1,8
197,2000	1,8
197,4000	1,8
197,6000	1,9
197,8000	1,9
198,0000	1,9
198,2000	1,9
198,4000	1,9
198,6000	1,9
198,8000	1,9
199,0000	1,9
199,2000	1,9
199,4000	1,9
199,6000	1,9
199,8000	1,9
200,0000	1,9
200,2000	1,9
200,4000	1,9
200,6000	1,9
200,8000	1,9
201,0000	1,9
201,2000	2,0
201,4000	2,0
201,6000	2,0
201,8000	2,0
202,0000	2,0
202,2000	2,0
202,4000	2,0
202,6000	2,0
202,8000	2,0
203,0000	2,0
203,2000	2,0
203,4000	2,0
203,6000	2,0
203,8000	2,0
204,0000	2,0
204,2000	2,0
204,4000	2,0
204,6000	2,1
204,8000	2,1
205,0000	2,1
205,2000	2,1
205,4000	2,1
205,6000	2,1
205,8000	2,1
206,0000	2,1
206,2000	2,1
206,4000	2,1
206,6000	2,1
206,8000	2,1
207,0000	2,1
207,2000	2,1
207,4000	2,1
207,6000	2,1
207,8000	2,2
208,0000	2,2
208,2000	2,2
208,4000	2,2
208,6000	2,2
208,8000	2,2
209,0000	2,2
209,2000	2,2
209,4000	2,2
209,6000	2,2
209,8000	2,2
210,0000	2,2
210,2000	2,2
210,4000	2,2
210,6000	2,2
210,8000	2,2
211,0000	2,3
211,2000	2,3
211,4000	2,3
211,6000	2,3
211,8000	2,3
212,0000	2,3
212,2000	2,3
212,4000	2,3
212,6000	2,3
212,8000	2,3
213,0000	2,3
213,2000	2,4
213,4000	2,4
213,6000	2,4
213,8000	2,4
214,0000	2,4
214,2000	2,4
214,4000	2,4
214,6000	2,4
214,8000	2,4
215,0000	2,5
215,2000	2,5
215,4000	2,5
215,6000	2,5
215,8000	2,5
216,0000	2,6
216,2000	2,6
216,4000	2,6
216,6000	2,6
216,8000	2,7
217,0000	2,7
217,2000	2,7
217,4000	2,7
217,6000	2,7
217,8000	2,8
218,0000	2,8
218,2000	2,8
218,4000	2,8
218,6000	2,9
218,8000	2,9
219,0000	2,9
219,2000	2,9
219,4000	2,9
219,6000	3,0
219,8000	3,0
220,0000	3,0
220,2000	3,0
220,4000	3,0
220,6000	3,1
220,8000	3,1
221,0000	3,1
221,2000	3,1
221,4000	3,2
221,6000	3,2
221,8000	3,3
222,0000	3,3
222,2000	3,4
222,4000	3,4
222,6000	3,4
222,8000	3,5
223,0000	3,5
223,2000	3,6
223,4000	3,6
223,6000	3,7
223,8000	3,7
224,0000	3,8
224,2000	3,9
224,4000	3,9
224,6000	4,0
224,8000	4,1
225,0000	4,2
225,2000	4,3
225,4000	4,4
225,6000	4,4
225,8000	4,5
226,0000	4,6
226,2000	4,7
226,4000	4,8
226,6000	4,8
226,8000	4,9
227,0000	5,0
227,2000	5,1
227,4000	5,1
227,6000	5,2
227,8000	5,3
228,0000	5,3
228,2000	5,4
228,4000	5,5
228,6000	5,6
228,8000	5,6
229,0000	5,7
229,2000	5,8
229,4000	5,8
229,6000	5,9
229,8000	6,0
230,0000	6,0
230,2000	6,1
230,4000	6,2
230,6000	6,2
230,8000	6,3
231,0000	6,3
231,2000	6,4
231,4000	6,5
231,6000	6,5
231,8000	6,6
232,0000	6,7
232,2000	6,7
232,4000	6,8
232,6000	6,9
232,8000	6,9
233,0000	7,0
233,2000	7,0
233,4000	7,1
233,6000	7,2
233,8000	7,2
234,0000	7,3
234,2000	7,4
234,4000	7,4
234,6000	7,5
234,8000	7,5
235,0000	7,6
235,2000	7,7
235,4000	7,7
235,6000	7,8
235,8000	7,8
236,0000	7,9
236,2000	7,9
236,4000	8,0
236,6000	8,1
236,8000	8,1
237,0000	8,2
237,2000	8,2
237,4000	8,3
237,6000	8,4
237,8000	8,4
238,0000	8,5
238,2000	8,5
238,4000	8,6
238,6000	8,6
238,8000	8,7
239,0000	8,8
239,2000	8,8
239,4000	8,9
239,6000	8,9
239,8000	9,0
240,0000	9,0
240,2000	9,1
240,4000	9,2
240,6000	9,2
240,8000	9,3
241,0000	9,3
241,2000	9,4
241,4000	9,5
241,6000	9,5
241,8000	9,6
242,0000	9,7
242,2000	9,7
242,4000	9,8
242,6000	9,9
242,8000	9,9
243,0000	10,0
243,2000	10,1
243,4000	10,1
243,6000	10,2
243,8000	10,3
244,0000	10,3
244,2000	10,4
244,4000	10,5
244,6000	10,5
244,8000	10,6
245,0000	10,7
245,2000	10,8
245,4000	10,8
245,6000	10,9
245,8000	11,0
246,0000	11,0
246,2000	11,1
246,4000	11,2
246,6000	11,3
246,8000	11,3
247,0000	11,4
247,2000	11,5
247,4000	11,6
247,6000	11,6
247,8000	11,7
248,0000	11,8
248,2000	11,9
248,4000	12,0
248,6000	12,0
248,8000	12,1
249,0000	12,2
249,2000	12,3
249,4000	12,4
249,6000	12,5
249,8000	12,5
250,0000	12,6
250,2000	12,7
250,4000	12,8
250,6000	12,9
250,8000	13,0
251,0000	13,0
251,2000	13,1
251,4000	13,2
251,6000	13,3
251,8000	13,4
252,0000	13,5
252,2000	13,6
252,4000	13,6
252,6000	13,7
252,8000	13,8
253,0000	13,9
253,2000	14,0
253,4000	14,0
253,6000	14,1
253,8000	14,2
254,0000	14,3
254,2000	14,4
254,4000	14,4
254,6000	14,5
254,8000	14,6
255,0000	14,7
255,2000	14,7
255,4000	14,8
255,6000	14,9
255,8000	15,0
256,0000	15,0
256,2000	15,1
256,4000	15,2
256,6000	15,2
256,8000	15,3
257,0000	15,4
257,2000	15,5
257,4000	15,5
257,6000	15,6
257,8000	15,7
258,0000	15,7
258,2000	15,8
258,4000	15,9
258,6000	15,9
258,8000	16,0
259,0000	16,1
259,2000	16,1
259,4000	16,2
259,6000	16,3
259,8000	16,4
260,0000	16,4
260,2000	16,5
260,4000	16,5
260,6000	16,6
260,8000	16,7
261,0000	16,7
261,2000	16,8
261,4000	16,9
261,6000	16,9
261,8000	17,0
262,0000	17,1
262,2000	17,1
262,4000	17,2
262,6000	17,3
262,8000	17,3
263,0000	17,4
263,2000	17,5
263,4000	17,5
263,6000	17,6
263,8000	17,7
264,0000	17,7
264,2000	17,8
264,4000	17,9
264,6000	17,9
264,8000	18,0
265,0000	18,1
265,2000	18,1
265,4000	18,2
265,6000	18,2
265,8000	18,3
266,0000	18,4
266,2000	18,4
266,4000	18,5
266,6000	18,6
266,8000	18,6
267,0000	18,7
267,2000	18,7
267,4000	18,8
267,6000	18,9
267,8000	18,9
268,0000	19,0
268,2000	19,1
268,4000	19,1
268,6000	19,2
268,8000	19,3
269,0000	19,3
269,2000	19,4
269,4000	19,4
269,6000	19,5
269,8000	19,6
270,0000	19,6
270,2000	19,7
270,4000	19,8
270,6000	19,8
270,8000	19,9
271,0000	19,9
271,2000	20,0
271,4000	20,1
271,6000	20,1
271,8000	20,2
272,0000	20,3
272,2000	20,3
272,4000	20,4
272,6000	20,5
272,8000	20,5
273,0000	20,6
273,2000	20,6
273,4000	20,7
273,6000	20,8
273,8000	20,8
274,0000	20,9
274,2000	20,9
274,4000	21,0
274,6000	21,1
274,8000	21,1
275,0000	21,2
275,2000	21,3
275,4000	21,3
275,6000	21,4
275,8000	21,4
276,0000	21,5
276,2000	21,6
276,4000	21,6
276,6000	21,7
276,8000	21,7
277,0000	21,8
277,2000	21,9
277,4000	21,9
277,6000	22,0
277,8000	22,1
278,0000	22,1
278,2000	22,2
278,4000	22,2
278,6000	22,3
278,8000	22,4
279,0000	22,4
279,2000	22,5
279,4000	22,5
279,6000	22,6
279,8000	22,7
280,0000	22,7
280,2000	22,8
280,4000	22,8
280,6000	22,9
280,8000	23,0
281,0000	23,0
281,2000	23,1
281,4000	23,1
281,6000	23,2
281,8000	23,3
282,0000	23,3
282,2000	23,4
282,4000	23,4
282,6000	23,5
282,8000	23,6
283,0000	23,6
283,2000	23,7
283,4000	23,7
283,6000	23,8
283,8000	23,9
284,0000	23,9
284,2000	24,0
284,4000	24,0
284,6000	24,1
284,8000	24,1
285,0000	24,2
285,2000	24,3
285,4000	24,3
285,6000	24,4
285,8000	24,4
286,0000	24,5
286,2000	24,6
286,4000	24,6
286,6000	24,7
286,8000	24,7
287,0000	24,8
287,2000	24,8
287,4000	24,9
287,6000	25,0
287,8000	25,0
288,0000	25,1
288,2000	25,1
288,4000	25,2
288,6000	25,2
288,8000	25,3
289,0000	25,4
289,2000	25,4
289,4000	25,5
289,6000	25,5
289,8000	25,6
290,0000	25,6
290,2000	25,7
290,4000	25,7
290,6000	25,8
290,8000	25,9
291,0000	25,9
291,2000	26,0
291,4000	26,0
291,6000	26,1
291,8000	26,1
292,0000	26,2
292,2000	26,3
292,4000	26,3
292,6000	26,4
292,8000	26,4
293,0000	26,5
293,2000	26,5
293,4000	26,6
293,6000	26,7
293,8000	26,7
294,0000	26,8
294,2000	26,8
294,4000	26,9
294,6000	26,9
294,8000	27,0
295,0000	27,1
295,2000	27,1
295,4000	27,2
295,6000	27,2
295,8000	27,3
296,0000	27,3
296,2000	27,4
